AMP,AUG,AXO,AZM,CHL,CIP,COT,FIS,FOX,GEN,MER,NAL,STR,TET
1,1,0.25,4,8,0.015,0.12,32,8,0.25,0.06,4,16,4
2,1,0.25,4,4,0.015,0.12,256,2,0.25,0.06,4,64,32
1,1,0.25,4,4,0.015,0.12,16,2,0.5,0.06,4,8,4
1,1,0.25,4,8,0.015,0.12,32,2,0.25,0.06,4,4,4
1,1,0.25,4,4,0.015,0.12,32,4,0.5,0.06,4,8,4
1,1,0.25,8,4,0.015,0.12,64,2,0.5,0.06,4,4,4
2,1,0.25,8,8,0.03,0.12,32,2,0.25,0.06,4,4,4
2,1,0.25,4,8,0.015,0.12,16,4,0.5,0.06,4,16,4
2,1,0.25,8,8,0.03,0.12,16,2,0.25,0.06,8,16,4
,,,,,,,,,,,,,
1,1,0.25,4,4,0.015,0.12,16,1,0.5,0.06,2,8,32
1,1,0.25,4,4,0.12,0.12,32,2,0.5,0.06,32,4,4
2,2,0.25,8,8,0.5,0.12,16,4,0.25,0.06,32,8,4
1,1,0.25,4,4,0.12,0.12,256,4,0.5,0.06,32,32,32
4,2,0.25,16,16,0.5,0.12,16,8,0.25,0.06,32,,4
